concedente,tipo_vaga,vaga,tipo_cota,no_salario_inicio,no_salario_limite,carga_horaria,dt_vigencia_inicio,dt_vigencia_limite,cidade,no_qtd_vagas,qt_candidatos,qt_contratados,status_salario,salario_usd,ano_vigencia,mes_vigencia
RENOVE ENGENHARIA,ESTÁGIO NÃO REMUNERADO,ESTAGIÁRIO DE PROJETOS,AMPLA CONCORRÊNCIA,,,20,2024-01-15,01/07/2024,PATOS DE MINAS,1,2,0,Baixo,,2024.0,1.0
SUNSALE SYSTEM,ESTÁGIO NÃO REMUNERADO,VAGA ESTÁGIO MEIO AMBIENTE,AMPLA CONCORRÊNCIA,,,30,2021-02-20,23/12/2021,UBERLÂNDIA,4,2,0,Baixo,,2021.0,2.0
SUNSALE SYSTEM,ESTÁGIO NÃO REMUNERADO,ESTÁGIO EM INFORMÁTICA - HOME OFFICE,AMPLA CONCORRÊNCIA,,,30,2021-12-01,31/12/2022,UBERLÂNDIA,5,8,5,Baixo,,2021.0,12.0
SUNSALE SYSTEM,ESTÁGIO NÃO REMUNERADO,ESTÁGIO INFORMÁTICA (HOME OFFICE),AMPLA CONCORRÊNCIA,,,30,2022-03-11,11/03/2023,UBERLÂNDIA,10,6,0,Baixo,,2022.0,3.0
SUPERAGRO,EMPREGO,ASSISTENTE TECNICO COMERCIAL,AMPLA CONCORRÊNCIA,2000.0,2800.0,44,2022-10-01,01/01/2023,UBERLÂNDIA,1,6,0,Alto,400.0,2022.0,10.0
THIAGRO,ESTÁGIO REMUNERADO,ASSISTENTE TÉCNICO EM AGRICULTURA DE PRECISÃO - AT,AMPLA CONCORRÊNCIA,960.0,1000.0,36,2021-08-01,21/12/2021,JATAÍ,1,3,0,Baixo,192.0,2021.0,8.0
TOMAS SOLUCOES AMBIENTAIS,ESTÁGIO NÃO REMUNERADO,ASSISTÊNCIA TÉCNICA  ,AMPLA CONCORRÊNCIA,,,32,2022-09-07,07/12/2022,CAMPINA VERDE,1,1,0,Baixo,,2022.0,9.0
UNIPETRO MINAS,EMPREGO,CARGO: VENDEDOR EXTERNO PARA ÓLEO DIESEL.,AMPLA CONCORRÊNCIA,2000.0,3000.0,44,2022-10-13,13/11/2022,UBERLÂNDIA,1,1,0,Alto,400.0,2022.0,10.0
UNIVERSIDADE FEDERAL DO TRIÂNGULO MINEIRO,ESTÁGIO REMUNERADO,ADMINISTRAÇÃO,AMPLA CONCORRÊNCIA,787.98,1000.0,20,2022-06-01,01/06/2023,UBERABA,2,8,0,Baixo,157.6,2022.0,6.0
UNIVERSIDADE FEDERAL DO TRIÂNGULO MINEIRO,ESTÁGIO REMUNERADO,TÉCNICO EM INFORMÁTICA,AMPLA CONCORRÊNCIA,486.05,700.0,20,2022-06-01,01/07/2023,UBERABA,1,20,0,Baixo,97.21,2022.0,6.0
VENTURE VEICULOS,ESTÁGIO REMUNERADO,ESTAGIO ANALISTA DE SUPORTE JR,AMPLA CONCORRÊNCIA,1000.0,1000.0,30,2022-04-01,01/10/2022,ITUIUTABA,1,7,0,Baixo,200.0,2022.0,4.0
VINICIUS MARCONDES CAMARGO TERIN,ESTÁGIO REMUNERADO,AUXILIAR AGROPECUÁRIO ,AMPLA CONCORRÊNCIA,500.0,1000.0,40,2023-08-01,31/12/2023,SERRANÓPOLIS,1,0,0,Baixo,100.0,2023.0,8.0
VINICIUS MARCONDES CAMARGO TERIN,ESTÁGIO REMUNERADO,ESTÁGIO EM FAZENDA DE CICLO COMPLETO ,AMPLA CONCORRÊNCIA,500.0,1000.0,40,2023-08-01,31/12/2023,SERRANÓPOLIS,1,0,0,Baixo,100.0,2023.0,8.0
YAMO,ESTÁGIO NÃO REMUNERADO,ESTAGIÁRIO(A) TECNOLOGIA EM ALIMENTOS / TÉCNICO EM ALIMENTOS,AMPLA CONCORRÊNCIA,,,20,2022-01-03,29/07/2022,UBERLÂNDIA,1,15,0,Baixo,,2022.0,1.0
